City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,nieuw amsterdam,5.8833,-55.0833,77.16,89,51,8.43,SR,1712896250
292,kalundborg,55.6795,11.0886,49.32,97,100,14.63,DK,1712896535
293,bengkulu,-3.8004,102.2655,79.81,89,99,2.89,ID,1712896251
294,wynyard,-41.0,145.7167,62.85,63,74,11.56,AU,1712896536
295,waingapu,-9.6567,120.2641,86.0,60,42,8.86,ID,1712896536
296,pestravka,52.405,49.9583,59.23,82,100,8.61,RU,1712896536
297,tosontsengel,48.7567,98.2839,48.15,38,73,10.6,MN,1712896251
298,yayva,59.3303,57.2641,48.18,80,45,10.47,RU,1712896251
299,saint-pierre,-21.3393,55.4781,82.08,65,0,4.61,RE,1712896536
300,inhambane,-23.865,35.3833,67.98,88,75,10.36,MZ,1712896252
301,encantado,-29.2361,-51.8697,67.6,100,100,1.86,BR,1712896252
302,sabang,5.8933,95.3214,84.83,77,83,17.54,ID,1712896536
303,shanhecun,44.7,127.2,71.38,36,94,23.35,CN,1712896537
304,zaozersk,69.4005,32.4476,28.92,88,99,11.7,RU,1712896252
305,n'zeto,-7.2312,12.8666,79.83,84,100,7.72,AO,1712896537
306,pisco,-13.7,-76.2167,71.65,83,0,9.22,PE,1712896252
307,lata,40.1629,-8.3327,56.91,75,74,3.94,PT,1712896252
308,sarangani,5.4033,125.4636,81.66,80,74,19.82,PH,1712896537
309,bielsk podlaski,52.7651,23.1865,51.04,77,88,7.74,PL,1712896375
310,saitlaw,23.9667,92.5833,81.82,51,75,3.44,IN,1712896537
311,bethanie,-26.4833,17.15,62.56,40,0,5.68,NA,1712896253
312,luwero,0.8492,32.4731,68.45,92,73,2.35,UG,1712896253
313,bayganin,48.6947,55.8742,54.93,52,92,8.86,KZ,1712896253
314,cestos city,5.46,-9.5828,79.95,87,81,2.59,LR,1712896538
315,livingston,55.9029,-3.5226,54.12,90,100,10.36,GB,1712896538
316,acajutla,13.5928,-89.8275,83.17,77,97,2.73,SV,1712896538
317,murray bridge,-35.1167,139.2667,64.35,48,10,12.03,AU,1712896538
318,vuokatti,64.146,28.2697,33.66,97,100,8.03,FI,1712896538
319,beyneu,45.3167,55.2,54.77,36,13,17.63,KZ,1712896254
320,naraini,25.1833,80.4833,98.06,19,93,8.12,IN,1712896254
321,hirara,24.8,125.2833,80.87,74,40,17.27,JP,1712896254
322,kudahuvadhoo,2.6708,72.8944,84.79,71,82,2.08,MV,1712896254
323,roxas,11.5853,122.7511,86.27,65,89,8.81,PH,1712896539
324,pacific grove,36.6177,-121.9166,59.02,81,0,8.05,US,1712896539
325,shakawe,-18.3667,21.85,63.48,57,93,5.26,BW,1712896539
326,sumbawa besar,-8.5,117.4333,84.9,80,95,4.74,ID,1712896539
327,kirensk,57.7853,108.1119,27.97,82,99,5.01,RU,1712896539
328,thames,-37.1333,175.5333,67.03,85,68,4.29,NZ,1712896539
329,newman,37.3138,-121.0208,71.83,78,0,8.01,US,1712896539
330,oberndorf bei salzburg,47.9402,12.9416,48.65,99,30,2.3,AT,1712896540
331,barra,-11.0894,-43.1417,76.86,84,99,3.33,BR,1712896540
332,antsiranana,-12.2787,49.2917,79.56,78,20,0.0,MG,1712896540
333,ola,59.5833,151.2833,31.14,89,44,1.48,RU,1712896255
334,notre-dame-des-prairies,46.0501,-73.4324,52.45,95,99,4.0,CA,1712896540
335,buka,40.8108,69.1986,62.67,76,100,8.3,UZ,1712896540
336,crane,31.3974,-102.3501,66.76,22,1,14.79,US,1712896540
337,mugia,43.1041,-9.2179,54.91,75,10,3.47,ES,1712896540
338,mirny,62.5353,113.9611,3.24,86,98,4.0,RU,1712896256
339,el bolson,-41.9667,-71.5167,40.64,85,6,1.81,AR,1712896540
